dataset,method,config,seed,selected_seed,seed_pool,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime
C101,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1140.400240,10,828.936867,True,0,75.601429
C102,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1182.824466,10,828.936867,True,0,75.679069
C103,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1138.887690,10,828.064882,True,0,75.809804
C104,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",10,1221.235856,10,837.889945,True,0,75.919059
C105,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1227.598589,10,828.936867,True,0,75.563519
C106,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1313.949239,10,828.936867,True,0,75.571663
C107,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1247.360024,10,828.936867,True,0,75.562292
C108,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1269.958648,10,828.936867,True,0,75.615001
C109,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",10,1126.125424,10,828.936867,True,0,75.821178
C201,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,705.487174,3,591.556557,True,0,75.498113
C202,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,822.055616,3,763.217156,True,0,75.680479
C203,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",4,1132.775187,3,612.570187,True,0,75.879328
C204,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",4,1066.620161,3,683.615506,True,0,76.290575
C205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1003.286550,3,683.447099,True,0,75.589905
C206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,948.544027,3,647.971716,True,0,75.730563
C207,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,979.629568,3,588.286321,True,0,75.641245
C208,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1182.865631,3,588.323801,True,0,75.637955
R101,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",22,2280.853437,19,1665.702696,True,0,75.713663
R102,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",19,2094.211757,17,1501.491463,True,0,75.738906
R103,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",15,1759.109060,14,1219.608960,True,0,75.846350
R104,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1309.459627,10,997.922605,True,0,75.814444
R105,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",16,1792.180047,15,1389.124864,True,0,75.626853
R106,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",16,1813.982227,12,1313.091640,True,0,75.704431
R107,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",12,1475.273984,11,1104.285086,True,0,75.731832
R108,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",11,1289.043558,10,986.828053,True,0,75.892633
R109,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",14,1637.297674,12,1169.003592,True,0,75.692603
R110,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",13,1494.187489,11,1118.204503,True,0,75.729742
R111,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",13,1407.583771,11,1115.182666,True,0,75.709241
R112,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",12,1362.872370,10,1021.453953,True,0,75.819580
R201,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1626.496773,4,1281.909173,True,0,75.708143
R202,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",4,1607.225656,4,1121.595557,True,0,75.866940
R203,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1499.050937,3,964.017683,True,0,76.060756
R204,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",3,1352.183948,3,817.984681,True,0,76.811741
R205,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",4,1525.157842,3,1060.774432,True,0,75.745810
R206,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1413.989145,3,1003.056085,True,0,76.022702
R207,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.631274,3,882.501318,True,0,76.249093
R208,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1108.453356,2,779.606049,True,0,76.775424
R209,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",3,1384.763681,3,948.501903,True,0,75.971531
R210,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1421.496143,3,1031.248060,True,0,75.818898
R211,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",3,1292.848628,3,845.126803,True,0,76.460476
RC101,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",18,2332.412676,15,1689.885807,True,0,75.672519
RC102,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",17,2270.359671,14,1527.086376,True,0,75.731327
RC103,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",14,2004.112658,12,1335.219989,True,0,75.685065
RC104,greedy_insertion+advanced_alns,balanced,42,42,"42,11,23",13,1711.234097,10,1146.250268,True,0,75.824753
RC105,greedy_insertion+advanced_alns,balanced,23,23,"42,11,23",18,2354.596514,14,1597.258102,True,0,75.636830
RC106,greedy_insertion+advanced_alns,balanced,11,11,"42,11,23",16,2134.704888,13,1483.497075,True,0,75.895095
