dataset,method,config,seed,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime
C101,greedy_insertion+advanced_alns,aggressive,11,11,1140.400240,10,828.936867,True,0,20.507417
C101,greedy_insertion+advanced_alns,aggressive,23,11,1140.400240,10,828.936867,True,0,20.457885
C101,greedy_insertion+advanced_alns,aggressive,37,11,1140.400240,10,828.936867,True,0,20.454540
C101,greedy_insertion+advanced_alns,balanced,11,11,1140.400240,10,828.936867,True,0,20.490657
C101,greedy_insertion+advanced_alns,balanced,23,11,1140.400240,10,828.936867,True,0,20.493080
C101,greedy_insertion+advanced_alns,balanced,37,11,1140.400240,10,828.936867,True,0,20.487882
C101,greedy_insertion+advanced_alns,conservative,11,11,1140.400240,10,828.936867,True,0,19.610748
C101,greedy_insertion+advanced_alns,conservative,23,11,1140.400240,10,828.936867,True,0,19.932240
C101,greedy_insertion+advanced_alns,conservative,37,11,1140.400240,10,828.936867,True,0,19.409798
R101,greedy_insertion+advanced_alns,aggressive,11,22,2280.853437,19,1694.707421,True,0,20.584446
R101,greedy_insertion+advanced_alns,aggressive,23,22,2280.853437,19,1690.996185,True,0,20.556507
R101,greedy_insertion+advanced_alns,aggressive,37,22,2280.853437,19,1690.691900,True,0,20.489692
R101,greedy_insertion+advanced_alns,balanced,11,22,2280.853437,19,1665.702696,True,0,20.530254
R101,greedy_insertion+advanced_alns,balanced,23,22,2280.853437,20,1665.643084,True,0,20.508576
R101,greedy_insertion+advanced_alns,balanced,37,22,2280.853437,19,1684.263388,True,0,20.540696
R101,greedy_insertion+advanced_alns,conservative,11,22,2280.853437,19,1685.682874,True,0,20.524308
R101,greedy_insertion+advanced_alns,conservative,23,22,2280.853437,19,1670.293707,True,0,20.494373
R101,greedy_insertion+advanced_alns,conservative,37,22,2280.853437,19,1667.899523,True,0,20.514376
RC101,greedy_insertion+advanced_alns,aggressive,11,18,2332.412676,16,1867.066645,True,0,20.501144
RC101,greedy_insertion+advanced_alns,aggressive,23,18,2332.412676,16,1727.596624,True,0,20.516659
RC101,greedy_insertion+advanced_alns,aggressive,37,18,2332.412676,15,1809.178383,True,0,20.608597
RC101,greedy_insertion+advanced_alns,balanced,11,18,2332.412676,15,1728.877544,True,0,20.477532
RC101,greedy_insertion+advanced_alns,balanced,23,18,2332.412676,16,1722.684978,True,0,20.490996
RC101,greedy_insertion+advanced_alns,balanced,37,18,2332.412676,15,1740.476589,True,0,20.498302
RC101,greedy_insertion+advanced_alns,conservative,11,18,2332.412676,16,1776.419573,True,0,20.500583
RC101,greedy_insertion+advanced_alns,conservative,23,18,2332.412676,16,1734.911776,True,0,20.518442
RC101,greedy_insertion+advanced_alns,conservative,37,18,2332.412676,16,1708.820260,True,0,20.514292
