dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,15,1511.643518,True,0,7.456947,False,False,False,10,828.94,5,82.358617,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,12,1226.193560,True,0,3.614899,True,True,True,10,828.94,2,47.923078,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,15,1511.643518,True,0,7.488732,True,False,False,10,828.94,5,82.358617,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,14,1324.138397,True,0,9.666153,False,False,False,10,828.94,4,59.738750,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,11,1385.332802,True,0,5.927493,True,True,True,10,828.94,1,67.120998,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,14,1324.138397,True,0,9.682103,True,False,False,10,828.94,4,59.738750,False,SINTEF VRPTW 100 customers
C103,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,13,1302.175340,True,0,9.972559,False,False,False,10,828.06,3,57.256158,False,SINTEF VRPTW 100 customers
C103,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,10,1322.223654,True,0,2.611860,True,True,True,10,828.06,0,59.677276,True,SINTEF VRPTW 100 customers
C103,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,13,1302.175340,True,0,9.990315,True,False,False,10,828.06,3,57.256158,False,SINTEF VRPTW 100 customers
C104,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,12,1325.433211,True,0,8.699197,False,False,False,10,824.78,2,60.701425,False,SINTEF VRPTW 100 customers
C104,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,10,1439.768364,True,0,2.635800,True,True,True,10,824.78,0,74.563928,True,SINTEF VRPTW 100 customers
C104,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,12,1325.433211,True,0,8.651238,True,False,False,10,824.78,2,60.701425,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,14,1616.431562,True,0,11.681280,False,False,False,10,828.94,4,94.999827,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,11,1044.223197,True,0,1.875542,True,True,True,10,828.94,1,25.970902,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,14,1616.431562,True,0,11.627117,True,False,False,10,828.94,4,94.999827,False,SINTEF VRPTW 100 customers
C106,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,14,1453.941903,True,0,10.342505,False,False,False,10,828.94,4,75.397725,False,SINTEF VRPTW 100 customers
