dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C1_2_1,greedy_insertion,24,4643.819920,24,4643.819920,True,0,3.332957,20,2704.57,4,71.702708,False,SINTEF Homberger 200/400 customers
C1_2_1,nearest_neighbor,37,6954.096152,28,5835.629713,True,0,0.046702,20,2704.57,8,115.769224,False,SINTEF Homberger 200/400 customers
C1_2_1,regret_insertion,36,12925.413816,36,12925.413816,True,0,3.595219,20,2704.57,16,377.910123,False,SINTEF Homberger 200/400 customers
C1_4_1,greedy_insertion,46,12258.655018,46,12258.655018,True,0,27.351196,40,7152.02,6,71.401297,False,SINTEF Homberger 200/400 customers
C1_4_1,nearest_neighbor,78,20203.570406,63,19430.413336,True,0,0.171783,40,7152.02,23,171.677279,False,SINTEF Homberger 200/400 customers
C1_4_1,regret_insertion,73,31611.951434,73,31611.951434,True,0,29.512524,40,7152.02,33,342.000322,False,SINTEF Homberger 200/400 customers
C2_2_1,greedy_insertion,7,2822.327824,7,2822.327824,True,0,3.424493,6,1931.44,1,46.125576,False,SINTEF Homberger 200/400 customers
C2_2_1,nearest_neighbor,32,6544.652344,12,4819.781143,True,0,0.049602,6,1931.44,6,149.543405,False,SINTEF Homberger 200/400 customers
C2_2_1,regret_insertion,11,11060.300877,10,10679.658075,True,0,3.412352,6,1931.44,4,452.937605,False,SINTEF Homberger 200/400 customers
C2_4_1,greedy_insertion,15,5782.823692,14,5563.698335,True,0,26.033094,12,4116.05,2,35.170815,False,SINTEF Homberger 200/400 customers
C2_4_1,nearest_neighbor,56,13906.803764,28,13088.404315,True,0,0.161148,12,4116.05,16,217.984580,False,SINTEF Homberger 200/400 customers
C2_4_1,regret_insertion,22,28982.777098,22,28982.777098,True,0,26.644327,12,4116.05,10,604.140550,False,SINTEF Homberger 200/400 customers
R1_2_1,greedy_insertion,24,6826.334634,24,6826.334634,True,0,3.452785,20,4784.11,4,42.687660,False,SINTEF Homberger 200/400 customers
R1_2_1,nearest_neighbor,59,9399.451048,34,8053.287046,True,0,0.046078,20,4784.11,14,68.334069,False,SINTEF Homberger 200/400 customers
R1_2_1,regret_insertion,29,9153.930258,29,9153.930258,True,0,3.496035,20,4784.11,9,91.340296,False,SINTEF Homberger 200/400 customers
R1_4_1,greedy_insertion,46,15474.585170,46,15474.585170,True,0,26.941085,40,10372.31,6,49.191310,False,SINTEF Homberger 200/400 customers
R1_4_1,nearest_neighbor,97,21273.814743,65,18124.927020,True,0,0.158011,40,10372.31,25,74.743399,False,SINTEF Homberger 200/400 customers
R1_4_1,regret_insertion,49,24009.344819,48,23740.159894,True,0,27.269025,40,10372.31,8,128.880162,False,SINTEF Homberger 200/400 customers
R2_2_1,greedy_insertion,6,6129.263239,5,5754.598873,True,0,3.510037,4,4483.16,1,28.360328,False,SINTEF Homberger 200/400 customers
R2_2_1,nearest_neighbor,27,7151.755091,8,6122.225113,True,0,0.050758,4,4483.16,4,36.560487,False,SINTEF Homberger 200/400 customers
R2_2_1,regret_insertion,9,11779.095142,8,11063.109706,True,0,3.373123,4,4483.16,4,146.770352,False,SINTEF Homberger 200/400 customers
R2_4_1,greedy_insertion,10,13097.957557,10,13097.957557,True,0,27.053643,8,9210.15,2,42.212207,False,SINTEF Homberger 200/400 customers
R2_4_1,nearest_neighbor,52,16616.143003,19,16385.136186,True,0,0.171119,8,9210.15,11,77.903033,False,SINTEF Homberger 200/400 customers
R2_4_1,regret_insertion,15,28410.481256,15,28410.481256,True,0,26.379883,8,9210.15,7,208.469257,False,SINTEF Homberger 200/400 customers
RC1_2_1,greedy_insertion,24,5592.999248,22,5267.207323,True,0,3.336017,18,3602.80,4,46.197605,False,SINTEF Homberger 200/400 customers
RC1_2_1,nearest_neighbor,36,6607.644198,23,5538.785167,True,0,0.042679,18,3602.80,5,53.735571,False,SINTEF Homberger 200/400 customers
RC1_2_1,regret_insertion,32,8913.117093,31,8803.973666,True,0,3.388336,18,3602.80,13,144.364763,False,SINTEF Homberger 200/400 customers
RC1_4_1,greedy_insertion,46,13943.397367,45,13813.476295,True,0,26.404266,36,8571.32,9,61.159265,False,SINTEF Homberger 200/400 customers
RC1_4_1,nearest_neighbor,70,16156.312377,55,14611.221214,True,0,0.153745,36,8571.32,19,70.466407,False,SINTEF Homberger 200/400 customers
RC1_4_1,regret_insertion,63,21753.052328,62,21566.563306,True,0,26.146188,36,8571.32,26,151.613092,False,SINTEF Homberger 200/400 customers
RC2_2_1,greedy_insertion,8,5358.078002,8,5358.078002,True,0,3.280588,6,3099.53,2,72.867435,False,SINTEF Homberger 200/400 customers
RC2_2_1,nearest_neighbor,19,5677.665896,7,5309.336759,True,0,0.048546,6,3099.53,1,71.294898,False,SINTEF Homberger 200/400 customers
RC2_2_1,regret_insertion,14,10857.146992,13,10523.714462,True,0,3.222952,6,3099.53,7,239.526137,False,SINTEF Homberger 200/400 customers
RC2_4_1,greedy_insertion,15,12715.780463,15,12715.780463,True,0,25.741496,11,6682.37,4,90.288482,False,SINTEF Homberger 200/400 customers
RC2_4_1,nearest_neighbor,43,13618.590353,19,12544.085604,True,0,0.170919,11,6682.37,8,87.719112,False,SINTEF Homberger 200/400 customers
RC2_4_1,regret_insertion,30,27464.592086,28,26751.476051,True,0,25.344989,11,6682.37,17,300.329165,False,SINTEF Homberger 200/400 customers
