dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime
C1_2_1,greedy_insertion,24,4643.819920,24,4643.819920,True,0,3.332957
C1_2_1,nearest_neighbor,37,6954.096152,28,5835.629713,True,0,0.046702
C1_2_1,regret_insertion,36,12925.413816,36,12925.413816,True,0,3.595219
C1_4_1,greedy_insertion,46,12258.655018,46,12258.655018,True,0,27.351196
C1_4_1,nearest_neighbor,78,20203.570406,63,19430.413336,True,0,0.171783
C1_4_1,regret_insertion,73,31611.951434,73,31611.951434,True,0,29.512524
C2_2_1,greedy_insertion,7,2822.327824,7,2822.327824,True,0,3.424493
C2_2_1,nearest_neighbor,32,6544.652344,12,4819.781143,True,0,0.049602
C2_2_1,regret_insertion,11,11060.300877,10,10679.658075,True,0,3.412352
C2_4_1,greedy_insertion,15,5782.823692,14,5563.698335,True,0,26.033094
C2_4_1,nearest_neighbor,56,13906.803764,28,13088.404315,True,0,0.161148
C2_4_1,regret_insertion,22,28982.777098,22,28982.777098,True,0,26.644327
R1_2_1,greedy_insertion,24,6826.334634,24,6826.334634,True,0,3.452785
R1_2_1,nearest_neighbor,59,9399.451048,34,8053.287046,True,0,0.046078
R1_2_1,regret_insertion,29,9153.930258,29,9153.930258,True,0,3.496035
R1_4_1,greedy_insertion,46,15474.585170,46,15474.585170,True,0,26.941085
R1_4_1,nearest_neighbor,97,21273.814743,65,18124.927020,True,0,0.158011
R1_4_1,regret_insertion,49,24009.344819,48,23740.159894,True,0,27.269025
R2_2_1,greedy_insertion,6,6129.263239,5,5754.598873,True,0,3.510037
R2_2_1,nearest_neighbor,27,7151.755091,8,6122.225113,True,0,0.050758
R2_2_1,regret_insertion,9,11779.095142,8,11063.109706,True,0,3.373123
R2_4_1,greedy_insertion,10,13097.957557,10,13097.957557,True,0,27.053643
R2_4_1,nearest_neighbor,52,16616.143003,19,16385.136186,True,0,0.171119
R2_4_1,regret_insertion,15,28410.481256,15,28410.481256,True,0,26.379883
RC1_2_1,greedy_insertion,24,5592.999248,22,5267.207323,True,0,3.336017
RC1_2_1,nearest_neighbor,36,6607.644198,23,5538.785167,True,0,0.042679
RC1_2_1,regret_insertion,32,8913.117093,31,8803.973666,True,0,3.388336
RC1_4_1,greedy_insertion,46,13943.397367,45,13813.476295,True,0,26.404266
RC1_4_1,nearest_neighbor,70,16156.312377,55,14611.221214,True,0,0.153745
RC1_4_1,regret_insertion,63,21753.052328,62,21566.563306,True,0,26.146188
RC2_2_1,greedy_insertion,8,5358.078002,8,5358.078002,True,0,3.280588
RC2_2_1,nearest_neighbor,19,5677.665896,7,5309.336759,True,0,0.048546
RC2_2_1,regret_insertion,14,10857.146992,13,10523.714462,True,0,3.222952
RC2_4_1,greedy_insertion,15,12715.780463,15,12715.780463,True,0,25.741496
RC2_4_1,nearest_neighbor,43,13618.590353,19,12544.085604,True,0,0.170919
RC2_4_1,regret_insertion,30,27464.592086,28,26751.476051,True,0,25.344989
