dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lc101,greedy_pair_insertion,12,967.381506,10,828.936867,True,0,1.109904,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc101,greedy_pair_insertion+ordinary_alns,10,828.936867,10,828.936867,True,0,15.415951,53,42,42,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc101,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,21.553198,53,42,42,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc102,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.384261,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc102,greedy_pair_insertion+ordinary_alns,10,828.936867,10,828.936867,True,0,12.411528,53,42,42,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc102,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,21.690779,53,42,42,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc103,greedy_pair_insertion,11,990.658585,10,956.644841,True,0,1.466715,52,,,9,1035.35,1,-7.601793,False,SINTEF PDPTW 100 tasks
lc103,greedy_pair_insertion+ordinary_alns,10,956.644841,10,956.644841,True,0,13.848265,52,42,42,9,1035.35,1,-7.601793,False,SINTEF PDPTW 100 tasks
lc103,greedy_pair_insertion+pair_alns,10,956.644841,10,956.644841,True,0,21.998218,52,42,42,9,1035.35,1,-7.601793,False,SINTEF PDPTW 100 tasks
lc104,greedy_pair_insertion,10,932.545147,9,1232.742862,True,0,1.936889,53,,,9,860.01,0,43.340527,True,SINTEF PDPTW 100 tasks
lc104,greedy_pair_insertion+ordinary_alns,9,1232.742862,9,1232.742862,True,0,18.849713,53,42,42,9,860.01,0,43.340527,True,SINTEF PDPTW 100 tasks
lc104,greedy_pair_insertion+pair_alns,9,1232.742862,9,1056.933523,True,0,22.274620,53,42,42,9,860.01,0,22.897818,True,SINTEF PDPTW 100 tasks
lc105,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.284458,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc105,greedy_pair_insertion+ordinary_alns,10,828.936867,10,828.936867,True,0,11.322799,53,42,42,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
