dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool
lc101,greedy_pair_insertion,12,967.381506,10,828.936867,True,0,1.493902,53,,
lc101,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,62.931795,53,42,"42,11,23"
lc102,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.860262,53,,
lc102,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,63.496291,53,42,"42,11,23"
lc103,greedy_pair_insertion,11,990.658585,10,956.644841,True,0,1.944945,52,,
lc103,greedy_pair_insertion+pair_alns,10,956.644841,10,827.864699,True,0,63.494871,52,11,"42,11,23"
lc104,greedy_pair_insertion,10,932.545147,9,1232.742862,True,0,2.574315,53,,
lc104,greedy_pair_insertion+pair_alns,9,1232.742862,9,1044.661503,True,0,64.207520,53,23,"42,11,23"
lc105,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.703861,53,,
lc105,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,62.878231,53,42,"42,11,23"
lc106,greedy_pair_insertion,11,1149.411691,11,1149.411691,True,0,1.620138,53,,
lc106,greedy_pair_insertion+pair_alns,11,1149.411691,10,828.936867,True,0,62.875890,53,42,"42,11,23"
lc107,greedy_pair_insertion,11,921.480787,11,921.480787,True,0,2.063638,53,,
lc107,greedy_pair_insertion+pair_alns,11,921.480787,10,828.936867,True,0,63.151301,53,42,"42,11,23"
lc108,greedy_pair_insertion,12,1158.890042,11,1190.840288,True,0,2.029205,53,,
lc108,greedy_pair_insertion+pair_alns,11,1190.840288,10,826.439205,True,0,63.156247,53,42,"42,11,23"
lc109,greedy_pair_insertion,11,1134.858254,11,1134.858254,True,0,2.511953,53,,
lc109,greedy_pair_insertion+pair_alns,11,1134.858254,10,884.017992,True,0,63.816355,53,23,"42,11,23"
lc201,greedy_pair_insertion,3,591.556557,3,591.556557,True,0,5.127075,51,,
lc201,greedy_pair_insertion+pair_alns,3,591.556557,3,591.556557,True,0,70.927005,51,42,"42,11,23"
lc202,greedy_pair_insertion,4,777.485447,4,777.485447,True,0,9.217246,51,,
lc202,greedy_pair_insertion+pair_alns,4,777.485447,3,591.556557,True,0,71.355226,51,42,"42,11,23"
lc203,greedy_pair_insertion,4,815.902191,4,815.902191,True,0,7.092329,51,,
lc203,greedy_pair_insertion+pair_alns,4,815.902191,3,591.173443,True,0,72.853006,51,42,"42,11,23"
lc204,greedy_pair_insertion,4,984.872150,3,869.273736,True,0,9.558880,51,,
lc204,greedy_pair_insertion+pair_alns,3,869.273736,3,647.552032,True,0,74.266749,51,11,"42,11,23"
lc205,greedy_pair_insertion,4,1157.749774,4,1157.749774,True,0,4.921347,51,,
lc205,greedy_pair_insertion+pair_alns,4,1157.749774,3,593.118603,True,0,73.732017,51,42,"42,11,23"
lc206,greedy_pair_insertion,4,817.262604,4,817.262604,True,0,9.148879,51,,
lc206,greedy_pair_insertion+pair_alns,4,817.262604,3,598.803341,True,0,71.974451,51,42,"42,11,23"
lc207,greedy_pair_insertion,4,706.601147,3,600.705642,True,0,9.317418,51,,
lc207,greedy_pair_insertion+pair_alns,3,600.705642,3,595.590596,True,0,73.918193,51,23,"42,11,23"
lc208,greedy_pair_insertion,4,1232.423619,4,1232.423619,True,0,6.410379,51,,
lc208,greedy_pair_insertion+pair_alns,4,1232.423619,3,939.576262,True,0,76.042955,51,42,"42,11,23"
lr101,greedy_pair_insertion,22,1845.444405,20,1760.944276,True,0,0.703750,53,,
lr101,greedy_pair_insertion+pair_alns,20,1760.944276,19,1650.799240,True,0,53.377890,53,11,"42,11,23"
lr102,greedy_pair_insertion,19,1696.261526,17,1617.903008,True,0,1.149071,55,,
lr102,greedy_pair_insertion+pair_alns,17,1617.903008,17,1552.659824,True,0,62.774533,55,42,"42,11,23"
lr103,greedy_pair_insertion,17,1676.041090,16,1633.778603,True,0,1.172750,52,,
lr103,greedy_pair_insertion+pair_alns,16,1633.778603,13,1325.584714,True,0,62.614833,52,42,"42,11,23"
lr104,greedy_pair_insertion,13,1364.844170,12,1319.522813,True,0,1.990448,52,,
lr104,greedy_pair_insertion+pair_alns,12,1319.522813,9,1017.125133,True,0,64.104786,52,23,"42,11,23"
lr105,greedy_pair_insertion,19,1648.647046,15,1421.457872,True,0,1.044028,53,,
lr105,greedy_pair_insertion+pair_alns,15,1421.457872,14,1390.554693,True,0,62.084211,53,42,"42,11,23"
lr106,greedy_pair_insertion,15,1529.470632,14,1489.367997,True,0,1.050483,52,,
lr106,greedy_pair_insertion+pair_alns,14,1489.367997,12,1252.616654,True,0,62.800574,52,23,"42,11,23"
lr107,greedy_pair_insertion,15,1458.926924,12,1237.211493,True,0,1.335800,52,,
lr107,greedy_pair_insertion+pair_alns,12,1237.211493,10,1111.313176,True,0,62.430792,52,23,"42,11,23"
lr108,greedy_pair_insertion,13,1289.404462,11,1169.010120,True,0,1.637842,50,,
lr108,greedy_pair_insertion+pair_alns,11,1169.010120,9,968.966019,True,0,62.848544,50,11,"42,11,23"
lr109,greedy_pair_insertion,16,1550.217492,14,1411.682642,True,0,1.346180,53,,
lr109,greedy_pair_insertion+pair_alns,14,1411.682642,12,1269.908518,True,0,62.879541,53,11,"42,11,23"
lr110,greedy_pair_insertion,15,1502.092350,14,1424.959130,True,0,1.255689,52,,
lr110,greedy_pair_insertion+pair_alns,14,1424.959130,12,1225.839455,True,0,62.489055,52,42,"42,11,23"
lr111,greedy_pair_insertion,13,1374.708537,13,1374.708537,True,0,1.736611,54,,
lr111,greedy_pair_insertion+pair_alns,13,1374.708537,11,1184.771247,True,0,63.278219,54,42,"42,11,23"
lr112,greedy_pair_insertion,13,1279.594251,12,1196.343390,True,0,2.079175,53,,
lr112,greedy_pair_insertion+pair_alns,12,1196.343390,10,1070.879033,True,0,64.177566,53,11,"42,11,23"
lr201,greedy_pair_insertion,6,1550.797211,5,1578.539736,True,0,3.226858,51,,
lr201,greedy_pair_insertion+pair_alns,5,1578.539736,5,1348.623043,True,0,66.883441,51,11,"42,11,23"
lr202,greedy_pair_insertion,5,1629.192599,5,1629.192599,True,0,4.756869,50,,
lr202,greedy_pair_insertion+pair_alns,5,1629.192599,4,1559.911704,True,0,69.082579,50,11,"42,11,23"
lr203,greedy_pair_insertion,4,1343.344368,4,1343.344368,True,0,7.294232,51,,
lr203,greedy_pair_insertion+pair_alns,4,1343.344368,3,1433.900185,True,0,78.638422,51,42,"42,11,23"
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,13.977201,50,,
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1164.856544,True,0,83.336524,50,11,"42,11,23"
lr205,greedy_pair_insertion,4,1811.127458,4,1811.127458,True,0,8.980729,51,,
lr205,greedy_pair_insertion+pair_alns,4,1811.127458,4,1447.149430,True,0,73.622869,51,11,"42,11,23"
lr206,greedy_pair_insertion,4,1453.839351,4,1453.839351,True,0,6.099697,50,,
lr206,greedy_pair_insertion+pair_alns,4,1453.839351,3,1184.187243,True,0,73.023952,50,42,"42,11,23"
