dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lc101,greedy_pair_insertion,12,967.381506,10,828.936867,True,0,1.493902,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc101,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,62.931795,53,42,"42,11,23",10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc102,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.860262,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc102,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,63.496291,53,42,"42,11,23",10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc103,greedy_pair_insertion,11,990.658585,10,956.644841,True,0,1.944945,52,,,9,1035.35,1,-7.601793,False,SINTEF PDPTW 100 tasks
lc103,greedy_pair_insertion+pair_alns,10,956.644841,10,827.864699,True,0,63.494871,52,11,"42,11,23",9,1035.35,1,-20.040112,False,SINTEF PDPTW 100 tasks
lc104,greedy_pair_insertion,10,932.545147,9,1232.742862,True,0,2.574315,53,,,9,860.01,0,43.340527,True,SINTEF PDPTW 100 tasks
lc104,greedy_pair_insertion+pair_alns,9,1232.742862,9,1044.661503,True,0,64.207520,53,23,"42,11,23",9,860.01,0,21.470855,True,SINTEF PDPTW 100 tasks
lc105,greedy_pair_insertion,10,828.936867,10,828.936867,True,0,1.703861,53,,,10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc105,greedy_pair_insertion+pair_alns,10,828.936867,10,828.936867,True,0,62.878231,53,42,"42,11,23",10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc106,greedy_pair_insertion,11,1149.411691,11,1149.411691,True,0,1.620138,53,,,10,828.94,1,38.660421,False,SINTEF PDPTW 100 tasks
lc106,greedy_pair_insertion+pair_alns,11,1149.411691,10,828.936867,True,0,62.875890,53,42,"42,11,23",10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc107,greedy_pair_insertion,11,921.480787,11,921.480787,True,0,2.063638,53,,,10,828.94,1,11.163750,False,SINTEF PDPTW 100 tasks
lc107,greedy_pair_insertion+pair_alns,11,921.480787,10,828.936867,True,0,63.151301,53,42,"42,11,23",10,828.94,0,-0.000378,True,SINTEF PDPTW 100 tasks
lc108,greedy_pair_insertion,12,1158.890042,11,1190.840288,True,0,2.029205,53,,,10,826.44,1,44.092770,False,SINTEF PDPTW 100 tasks
lc108,greedy_pair_insertion+pair_alns,11,1190.840288,10,826.439205,True,0,63.156247,53,42,"42,11,23",10,826.44,0,-0.000096,True,SINTEF PDPTW 100 tasks
lc109,greedy_pair_insertion,11,1134.858254,11,1134.858254,True,0,2.511953,53,,,9,1000.60,2,13.417775,False,SINTEF PDPTW 100 tasks
lc109,greedy_pair_insertion+pair_alns,11,1134.858254,10,884.017992,True,0,63.816355,53,23,"42,11,23",9,1000.60,1,-11.651210,False,SINTEF PDPTW 100 tasks
lc201,greedy_pair_insertion,3,591.556557,3,591.556557,True,0,5.127075,51,,,3,591.56,0,-0.000582,True,SINTEF PDPTW 100 tasks
lc201,greedy_pair_insertion+pair_alns,3,591.556557,3,591.556557,True,0,70.927005,51,42,"42,11,23",3,591.56,0,-0.000582,True,SINTEF PDPTW 100 tasks
lc202,greedy_pair_insertion,4,777.485447,4,777.485447,True,0,9.217246,51,,,3,591.56,1,31.429685,False,SINTEF PDPTW 100 tasks
lc202,greedy_pair_insertion+pair_alns,4,777.485447,3,591.556557,True,0,71.355226,51,42,"42,11,23",3,591.56,0,-0.000582,True,SINTEF PDPTW 100 tasks
lc203,greedy_pair_insertion,4,815.902191,4,815.902191,True,0,7.092329,51,,,3,591.17,1,38.014817,False,SINTEF PDPTW 100 tasks
lc203,greedy_pair_insertion+pair_alns,4,815.902191,3,591.173443,True,0,72.853006,51,42,"42,11,23",3,591.17,0,0.000582,True,SINTEF PDPTW 100 tasks
lc204,greedy_pair_insertion,4,984.872150,3,869.273736,True,0,9.558880,51,,,3,590.60,0,47.184852,True,SINTEF PDPTW 100 tasks
