dataset,method,time_limit,status,vehicles,distance,feasible,violations,runtime
C101,ortools_routing,30,1,10,828.936867,True,0,30.007186
C102,ortools_routing,30,1,10,828.936867,True,0,30.007512
C103,ortools_routing,30,1,10,910.405335,True,0,30.020937
C104,ortools_routing,30,1,10,901.777161,True,0,30.006309
C105,ortools_routing,30,1,10,828.936867,True,0,30.007216
C106,ortools_routing,30,1,10,828.936867,True,0,30.005261
C107,ortools_routing,30,1,10,894.778382,True,0,30.005928
C108,ortools_routing,30,1,10,828.936867,True,0,30.031591
C109,ortools_routing,30,1,10,854.782980,True,0,30.001944
C201,ortools_routing,30,1,3,591.556557,True,0,30.002692
C202,ortools_routing,30,1,3,591.556557,True,0,30.002070
C203,ortools_routing,30,1,3,591.173443,True,0,30.002409
C204,ortools_routing,30,1,3,593.933997,True,0,30.002960
C205,ortools_routing,30,1,3,588.875963,True,0,30.002059
C206,ortools_routing,30,1,3,588.492849,True,0,30.002367
C207,ortools_routing,30,1,3,588.286321,True,0,30.003467
C208,ortools_routing,30,1,3,588.323801,True,0,30.002248
R101,ortools_routing,30,4,0,0.000000,False,100,30.002750
R102,ortools_routing,30,4,0,0.000000,False,100,30.002481
R103,ortools_routing,30,4,0,0.000000,False,100,30.003429
R104,ortools_routing,30,1,10,1019.995462,True,0,30.002331
R105,ortools_routing,30,4,0,0.000000,False,100,30.002645
R106,ortools_routing,30,4,0,0.000000,False,100,30.002653
R107,ortools_routing,30,1,11,1088.565813,True,0,30.002065
R108,ortools_routing,30,1,10,1009.663095,True,0,30.001916
R109,ortools_routing,30,1,13,1217.299932,True,0,30.002826
R110,ortools_routing,30,1,12,1098.258655,True,0,30.001686
R111,ortools_routing,30,1,11,1149.511044,True,0,30.002494
R112,ortools_routing,30,1,10,994.168657,True,0,30.002259
R201,ortools_routing,30,1,4,1325.574182,True,0,30.001702
R202,ortools_routing,30,1,4,1143.980680,True,0,30.002453
R203,ortools_routing,30,1,3,977.583267,True,0,30.002016
R204,ortools_routing,30,1,3,755.437875,True,0,30.001962
R205,ortools_routing,30,1,3,1102.376442,True,0,30.002102
R206,ortools_routing,30,1,3,1010.173520,True,0,30.002050
R207,ortools_routing,30,1,3,867.549668,True,0,30.002071
R208,ortools_routing,30,1,2,764.634436,True,0,30.004932
R209,ortools_routing,30,1,3,1008.089999,True,0,30.002332
R210,ortools_routing,30,1,4,942.437645,True,0,30.002134
R211,ortools_routing,30,1,3,877.887654,True,0,30.004956
RC101,ortools_routing,30,4,0,0.000000,False,100,30.002273
RC102,ortools_routing,30,1,14,1518.240643,True,0,30.002014
RC103,ortools_routing,30,1,13,1358.015701,True,0,30.002876
RC104,ortools_routing,30,1,11,1261.187006,True,0,30.002373
RC105,ortools_routing,30,4,0,0.000000,False,100,30.002338
RC106,ortools_routing,30,1,14,1428.994200,True,0,30.002187
RC107,ortools_routing,30,1,12,1347.567935,True,0,30.012446
RC108,ortools_routing,30,1,12,1210.171260,True,0,30.002210
RC201,ortools_routing,30,1,4,1551.932686,True,0,30.001935
RC202,ortools_routing,30,1,4,1303.258860,True,0,30.002541
RC203,ortools_routing,30,1,4,989.335738,True,0,30.002489
RC204,ortools_routing,30,1,3,835.514252,True,0,30.001839
RC205,ortools_routing,30,1,5,1397.004584,True,0,30.005147
RC206,ortools_routing,30,1,4,1114.795251,True,0,30.002468
RC207,ortools_routing,30,1,4,1073.703183,True,0,30.003106
RC208,ortools_routing,30,1,3,884.535562,True,0,30.001981
