dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
C101,greedy_insertion,fast_only,11,1140.400240,True,0,0.304613
C101,greedy_insertion,fast_repair,11,1140.400240,True,0,0.304613
C101,greedy_insertion,fast_repair_merge,11,1140.400240,True,0,0.304613
C101,greedy_insertion,fast_repair_merge_elim,11,1140.400240,True,0,0.304613
C101,greedy_insertion,full_ftv,11,952.814501,True,0,0.304613
C101,nearest_neighbor,fast_only,21,1870.693800,True,0,0.014661
C101,nearest_neighbor,fast_repair,21,1870.693800,True,0,0.014661
C101,nearest_neighbor,fast_repair_merge,16,1774.136330,True,0,0.014661
C101,nearest_neighbor,fast_repair_merge_elim,12,1332.168679,True,0,0.014661
C101,nearest_neighbor,full_ftv,12,1226.193560,True,0,0.014661
C101,regret_insertion,fast_only,11,1305.964232,True,0,0.307624
C101,regret_insertion,fast_repair,11,1305.964232,True,0,0.307624
C101,regret_insertion,fast_repair_merge,11,1305.964232,True,0,0.307624
C101,regret_insertion,fast_repair_merge_elim,11,1305.964232,True,0,0.307624
C101,regret_insertion,full_ftv,11,1172.843823,True,0,0.307624
C102,greedy_insertion,fast_only,10,1182.824466,True,0,0.335000
C102,greedy_insertion,fast_repair,10,1182.824466,True,0,0.335000
C102,greedy_insertion,fast_repair_merge,10,1182.824466,True,0,0.335000
C102,greedy_insertion,fast_repair_merge_elim,10,1182.824466,True,0,0.335000
C102,greedy_insertion,full_ftv,10,1150.154452,True,0,0.335000
C102,nearest_neighbor,fast_only,19,1992.460791,True,0,0.013545
C102,nearest_neighbor,fast_repair,19,1992.460791,True,0,0.013545
C102,nearest_neighbor,fast_repair_merge,15,1887.895448,True,0,0.013545
C102,nearest_neighbor,fast_repair_merge_elim,11,1426.076074,True,0,0.013545
C102,nearest_neighbor,full_ftv,11,1385.332802,True,0,0.013545
C102,regret_insertion,fast_only,11,2301.587338,True,0,0.335046
C102,regret_insertion,fast_repair,11,2301.587338,True,0,0.335046
C102,regret_insertion,fast_repair_merge,11,2301.587338,True,0,0.335046
C102,regret_insertion,fast_repair_merge_elim,11,2301.587338,True,0,0.335046
C102,regret_insertion,full_ftv,11,1833.928868,True,0,0.335046
C103,greedy_insertion,fast_only,10,1138.887690,True,0,0.383980
C103,greedy_insertion,fast_repair,10,1138.887690,True,0,0.383980
C103,greedy_insertion,fast_repair_merge,10,1138.887690,True,0,0.383980
C103,greedy_insertion,fast_repair_merge_elim,10,1138.887690,True,0,0.383980
C103,greedy_insertion,full_ftv,10,1029.704738,True,0,0.383980
