dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,greedy_insertion,fast_only,11,1140.400240,True,0,0.304613,10,828.94,1,37.573315,False,SINTEF VRPTW 100 customers
C101,greedy_insertion,fast_repair,11,1140.400240,True,0,0.304613,10,828.94,1,37.573315,False,SINTEF VRPTW 100 customers
C101,greedy_insertion,fast_repair_merge,11,1140.400240,True,0,0.304613,10,828.94,1,37.573315,False,SINTEF VRPTW 100 customers
C101,greedy_insertion,fast_repair_merge_elim,11,1140.400240,True,0,0.304613,10,828.94,1,37.573315,False,SINTEF VRPTW 100 customers
C101,greedy_insertion,full_ftv,11,952.814501,True,0,0.304613,10,828.94,1,14.943723,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,fast_only,21,1870.693800,True,0,0.014661,10,828.94,11,125.673004,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,fast_repair,21,1870.693800,True,0,0.014661,10,828.94,11,125.673004,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,fast_repair_merge,16,1774.136330,True,0,0.014661,10,828.94,6,114.024698,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,fast_repair_merge_elim,12,1332.168679,True,0,0.014661,10,828.94,2,60.707491,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,full_ftv,12,1226.193560,True,0,0.014661,10,828.94,2,47.923078,False,SINTEF VRPTW 100 customers
C101,regret_insertion,fast_only,11,1305.964232,True,0,0.307624,10,828.94,1,57.546292,False,SINTEF VRPTW 100 customers
C101,regret_insertion,fast_repair,11,1305.964232,True,0,0.307624,10,828.94,1,57.546292,False,SINTEF VRPTW 100 customers
C101,regret_insertion,fast_repair_merge,11,1305.964232,True,0,0.307624,10,828.94,1,57.546292,False,SINTEF VRPTW 100 customers
C101,regret_insertion,fast_repair_merge_elim,11,1305.964232,True,0,0.307624,10,828.94,1,57.546292,False,SINTEF VRPTW 100 customers
C101,regret_insertion,full_ftv,11,1172.843823,True,0,0.307624,10,828.94,1,41.487179,False,SINTEF VRPTW 100 customers
C102,greedy_insertion,fast_only,10,1182.824466,True,0,0.335000,10,828.94,0,42.691204,True,SINTEF VRPTW 100 customers
C102,greedy_insertion,fast_repair,10,1182.824466,True,0,0.335000,10,828.94,0,42.691204,True,SINTEF VRPTW 100 customers
C102,greedy_insertion,fast_repair_merge,10,1182.824466,True,0,0.335000,10,828.94,0,42.691204,True,SINTEF VRPTW 100 customers
C102,greedy_insertion,fast_repair_merge_elim,10,1182.824466,True,0,0.335000,10,828.94,0,42.691204,True,SINTEF VRPTW 100 customers
C102,greedy_insertion,full_ftv,10,1150.154452,True,0,0.335000,10,828.94,0,38.750024,True,SINTEF VRPTW 100 customers
C102,nearest_neighbor,fast_only,19,1992.460791,True,0,0.013545,10,828.94,9,140.362486,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,fast_repair,19,1992.460791,True,0,0.013545,10,828.94,9,140.362486,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,fast_repair_merge,15,1887.895448,True,0,0.013545,10,828.94,5,127.748142,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,fast_repair_merge_elim,11,1426.076074,True,0,0.013545,10,828.94,1,72.036103,False,SINTEF VRPTW 100 customers
C102,nearest_neighbor,full_ftv,11,1385.332802,True,0,0.013545,10,828.94,1,67.120998,False,SINTEF VRPTW 100 customers
C102,regret_insertion,fast_only,11,2301.587338,True,0,0.335046,10,828.94,1,177.654274,False,SINTEF VRPTW 100 customers
C102,regret_insertion,fast_repair,11,2301.587338,True,0,0.335046,10,828.94,1,177.654274,False,SINTEF VRPTW 100 customers
C102,regret_insertion,fast_repair_merge,11,2301.587338,True,0,0.335046,10,828.94,1,177.654274,False,SINTEF VRPTW 100 customers
C102,regret_insertion,fast_repair_merge_elim,11,2301.587338,True,0,0.335046,10,828.94,1,177.654274,False,SINTEF VRPTW 100 customers
C102,regret_insertion,full_ftv,11,1833.928868,True,0,0.335046,10,828.94,1,121.237830,False,SINTEF VRPTW 100 customers
C103,greedy_insertion,fast_only,10,1138.887690,True,0,0.383980,10,828.06,0,37.536856,True,SINTEF VRPTW 100 customers
C103,greedy_insertion,fast_repair,10,1138.887690,True,0,0.383980,10,828.06,0,37.536856,True,SINTEF VRPTW 100 customers
