dataset,method,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime
C101,greedy_insertion+basic_alns,11,1140.400240,10,828.936867,True,0,21.173310
C101,nearest_neighbor+basic_alns,12,1332.168679,10,828.936867,True,0,15.213142
C101,regret_insertion+basic_alns,11,1305.964232,10,828.936867,True,0,21.065041
C102,greedy_insertion+basic_alns,10,1182.824466,10,898.271790,True,0,21.080805
C102,nearest_neighbor+basic_alns,11,1426.076074,10,994.313310,True,0,15.275987
C102,regret_insertion+basic_alns,11,2296.781253,11,1031.136068,True,0,21.413505
C103,greedy_insertion+basic_alns,10,1144.401596,10,952.994401,True,0,21.177078
C103,nearest_neighbor+basic_alns,10,1398.953230,10,1172.767017,True,0,15.479115
C103,regret_insertion+basic_alns,11,2620.846820,10,1352.391038,True,0,20.932237
C104,greedy_insertion+basic_alns,10,1232.050469,10,920.124384,True,0,21.144144
C104,nearest_neighbor+basic_alns,10,1495.246124,10,1092.665847,True,0,15.500524
C104,regret_insertion+basic_alns,10,2791.409849,10,1154.829387,True,0,21.222493
C105,greedy_insertion+basic_alns,11,1227.598589,11,953.894013,True,0,21.376283
C105,nearest_neighbor+basic_alns,11,1173.568751,10,828.936867,True,0,15.225743
C105,regret_insertion+basic_alns,12,1546.748838,10,862.374908,True,0,21.191957
C106,greedy_insertion+basic_alns,11,1313.949239,10,828.936867,True,0,21.055614
C106,nearest_neighbor+basic_alns,11,1325.976639,11,1167.187510,True,0,15.486144
C106,regret_insertion+basic_alns,11,1593.740657,10,906.180426,True,0,21.083172
C107,greedy_insertion+basic_alns,11,1247.360024,10,885.816729,True,0,21.251898
C107,nearest_neighbor+basic_alns,12,1839.915144,11,1023.866787,True,0,15.871800
C107,regret_insertion+basic_alns,12,1892.708999,10,1029.429797,True,0,21.061732
C108,greedy_insertion+basic_alns,11,1269.958648,10,906.704523,True,0,21.041924
C108,nearest_neighbor+basic_alns,11,1841.192442,10,1124.686571,True,0,15.268082
C108,regret_insertion+basic_alns,13,3228.264698,10,1138.692120,True,0,20.716076
C109,greedy_insertion+basic_alns,10,1168.131145,10,873.806186,True,0,21.311747
C109,nearest_neighbor+basic_alns,11,1631.019769,10,1019.677150,True,0,15.406809
C109,regret_insertion+basic_alns,12,2893.942158,10,1100.552413,True,0,20.933083
C201,greedy_insertion+basic_alns,3,705.487174,3,690.397914,True,0,26.075922
C201,nearest_neighbor+basic_alns,4,1045.346585,3,591.556557,True,0,15.171681
C201,regret_insertion+basic_alns,4,1153.049584,4,889.376761,True,0,26.218445
C202,greedy_insertion+basic_alns,3,822.055616,3,792.941071,True,0,25.712101
C202,nearest_neighbor+basic_alns,4,1028.833819,3,735.096999,True,0,15.192341
C202,regret_insertion+basic_alns,4,1643.556985,3,628.659183,True,0,25.274740
C203,greedy_insertion+basic_alns,4,1132.775187,3,838.121991,True,0,25.628078
C203,nearest_neighbor+basic_alns,4,1267.362979,4,726.906947,True,0,16.338777
C203,regret_insertion+basic_alns,4,2277.802009,4,953.436577,True,0,25.332822
C204,greedy_insertion+basic_alns,4,1066.620161,3,747.815728,True,0,25.746979
C204,nearest_neighbor+basic_alns,4,1192.187947,4,801.560842,True,0,16.847722
C204,regret_insertion+basic_alns,4,2061.918052,4,1022.542032,True,0,25.841313
C205,greedy_insertion+basic_alns,4,1003.286550,3,683.447099,True,0,25.712867
C205,nearest_neighbor+basic_alns,4,1012.498988,3,644.322999,True,0,15.170966
C205,regret_insertion+basic_alns,4,2150.069390,4,851.498559,True,0,25.582099
C206,greedy_insertion+basic_alns,4,948.544027,3,695.162113,True,0,25.788144
C206,nearest_neighbor+basic_alns,4,1040.963602,3,726.543410,True,0,16.354073
C206,regret_insertion+basic_alns,4,2394.262697,3,638.752796,True,0,24.684157
C207,greedy_insertion+basic_alns,4,979.629568,3,683.002451,True,0,25.826944
C207,nearest_neighbor+basic_alns,4,1021.747227,3,709.389282,True,0,15.268367
C207,regret_insertion+basic_alns,4,2607.469290,4,964.809664,True,0,25.468894
C208,greedy_insertion+basic_alns,4,1182.865631,3,885.831545,True,0,25.424235
C208,nearest_neighbor+basic_alns,3,1018.051233,3,825.876068,True,0,15.116185
C208,regret_insertion+basic_alns,4,1750.999372,3,833.470358,True,0,26.783444
R101,greedy_insertion+basic_alns,22,2280.853437,21,1787.299536,True,0,20.569856
R101,nearest_neighbor+basic_alns,22,2057.642550,20,1762.729506,True,0,15.372254
R101,regret_insertion+basic_alns,24,2526.961156,20,1841.036196,True,0,20.174833
R102,greedy_insertion+basic_alns,19,2094.211757,17,1503.778206,True,0,20.880942
R102,nearest_neighbor+basic_alns,19,1851.454046,18,1561.949027,True,0,15.560696
R102,regret_insertion+basic_alns,21,2493.269607,19,1649.882947,True,0,20.571233
R103,greedy_insertion+basic_alns,15,1763.974710,14,1307.306674,True,0,21.323361
R103,nearest_neighbor+basic_alns,15,1710.652113,14,1290.778650,True,0,15.584376
R103,regret_insertion+basic_alns,18,2403.748214,14,1434.381011,True,0,20.459583
R104,greedy_insertion+basic_alns,11,1290.625574,10,1154.160223,True,0,21.082302
R104,nearest_neighbor+basic_alns,11,1275.168753,11,1104.909902,True,0,15.554996
R104,regret_insertion+basic_alns,18,3027.142229,10,1119.784919,True,0,19.962841
R105,greedy_insertion+basic_alns,16,1792.180047,15,1452.912977,True,0,20.812098
R105,nearest_neighbor+basic_alns,17,1790.403992,16,1488.491101,True,0,15.516968
R105,regret_insertion+basic_alns,20,2535.169469,16,1519.022157,True,0,20.160086
R106,greedy_insertion+basic_alns,14,1606.168011,13,1390.623507,True,0,20.987129
R106,nearest_neighbor+basic_alns,16,1838.461963,14,1412.323392,True,0,15.540848
R106,regret_insertion+basic_alns,18,2740.879371,14,1465.697736,True,0,20.149143
R107,greedy_insertion+basic_alns,13,1498.228361,11,1192.276702,True,0,21.099582
