dataset,method,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,greedy_insertion+basic_alns,11,1140.400240,10,828.936867,True,0,21.173310,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C101,nearest_neighbor+basic_alns,12,1332.168679,10,828.936867,True,0,15.213142,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C101,regret_insertion+basic_alns,11,1305.964232,10,828.936867,True,0,21.065041,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C102,greedy_insertion+basic_alns,10,1182.824466,10,898.271790,True,0,21.080805,10,828.94,0,8.363909,True,SINTEF VRPTW 100 customers
C102,nearest_neighbor+basic_alns,11,1426.076074,10,994.313310,True,0,15.275987,10,828.94,0,19.949973,True,SINTEF VRPTW 100 customers
C102,regret_insertion+basic_alns,11,2296.781253,11,1031.136068,True,0,21.413505,10,828.94,1,24.392123,False,SINTEF VRPTW 100 customers
C103,greedy_insertion+basic_alns,10,1144.401596,10,952.994401,True,0,21.177078,10,828.06,0,15.087602,True,SINTEF VRPTW 100 customers
C103,nearest_neighbor+basic_alns,10,1398.953230,10,1172.767017,True,0,15.479115,10,828.06,0,41.628266,True,SINTEF VRPTW 100 customers
C103,regret_insertion+basic_alns,11,2620.846820,10,1352.391038,True,0,20.932237,10,828.06,0,63.320416,True,SINTEF VRPTW 100 customers
C104,greedy_insertion+basic_alns,10,1232.050469,10,920.124384,True,0,21.144144,10,824.78,0,11.559978,True,SINTEF VRPTW 100 customers
C104,nearest_neighbor+basic_alns,10,1495.246124,10,1092.665847,True,0,15.500524,10,824.78,0,32.479673,True,SINTEF VRPTW 100 customers
C104,regret_insertion+basic_alns,10,2791.409849,10,1154.829387,True,0,21.222493,10,824.78,0,40.016657,True,SINTEF VRPTW 100 customers
C105,greedy_insertion+basic_alns,11,1227.598589,11,953.894013,True,0,21.376283,10,828.94,1,15.073951,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor+basic_alns,11,1173.568751,10,828.936867,True,0,15.225743,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C105,regret_insertion+basic_alns,12,1546.748838,10,862.374908,True,0,21.191957,10,828.94,0,4.033453,True,SINTEF VRPTW 100 customers
C106,greedy_insertion+basic_alns,11,1313.949239,10,828.936867,True,0,21.055614,10,828.94,0,-0.000378,True,SINTEF VRPTW 100 customers
C106,nearest_neighbor+basic_alns,11,1325.976639,11,1167.187510,True,0,15.486144,10,828.94,1,40.804824,False,SINTEF VRPTW 100 customers
