dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime
C101,greedy_insertion,11,1140.400240,11,952.814501,True,0,5.842357
C101,nearest_neighbor,21,1870.693800,12,1226.193560,True,0,0.048529
C101,regret_insertion,11,1305.964232,11,1172.843823,True,0,5.844099
C102,greedy_insertion,10,1182.824466,10,1150.154452,True,0,5.869148
C102,nearest_neighbor,19,1992.460791,11,1385.332802,True,0,0.046999
C102,regret_insertion,11,2296.781253,11,1872.957160,True,0,5.702710
C103,greedy_insertion,10,1144.401596,10,1029.704738,True,0,5.765713
C103,nearest_neighbor,17,1656.798431,10,1322.223654,True,0,0.037798
C103,regret_insertion,11,2620.846820,11,1931.484734,True,0,5.564169
C104,greedy_insertion,10,1232.050469,10,1071.704335,True,0,5.782388
C104,nearest_neighbor,15,1702.625365,10,1439.768364,True,0,0.034859
C104,regret_insertion,11,2867.668637,10,2791.409849,True,0,5.430049
C105,greedy_insertion,11,1227.598589,11,1078.190093,True,0,5.943768
C105,nearest_neighbor,20,1888.387776,11,1044.223197,True,0,0.044027
C105,regret_insertion,12,1546.748838,12,1334.569573,True,0,5.839706
C106,greedy_insertion,11,1313.949239,11,1118.253341,True,0,5.878317
C106,nearest_neighbor,19,1913.089468,11,1259.598777,True,0,0.044354
C106,regret_insertion,11,1593.740657,11,1370.171116,True,0,5.866228
C107,greedy_insertion,11,1247.360024,11,1012.881380,True,0,5.888048
C107,nearest_neighbor,18,2131.536781,12,1441.927019,True,0,0.050404
C107,regret_insertion,13,1947.807614,12,1655.453312,True,0,5.829557
C108,greedy_insertion,11,1269.958648,11,1034.940516,True,0,5.821619
C108,nearest_neighbor,17,2103.407427,11,1554.592767,True,0,0.043594
C108,regret_insertion,14,3376.908185,13,2015.252662,True,0,5.481225
C109,greedy_insertion,11,1262.913492,10,1049.434698,True,0,5.848766
C109,nearest_neighbor,14,1788.553875,11,1435.160207,True,0,0.037671
C109,regret_insertion,13,3056.223234,11,2086.305690,True,0,5.558337
C201,greedy_insertion,3,705.487174,3,690.397914,True,0,10.859011
C201,nearest_neighbor,15,1880.468130,4,867.666890,True,0,0.036965
C201,regret_insertion,5,1357.542361,4,1002.210982,True,0,10.408778
C202,greedy_insertion,4,885.444957,3,813.839393,True,0,10.824557
C202,nearest_neighbor,14,1603.092926,4,916.335131,True,0,0.036328
C202,regret_insertion,5,1921.251667,4,1161.859499,True,0,10.333559
C203,greedy_insertion,4,1132.775187,4,868.574623,True,0,10.485857
C203,nearest_neighbor,11,1583.700653,4,1182.427083,True,0,0.032610
C203,regret_insertion,4,2277.802009,4,1529.535817,True,0,9.671662
C204,greedy_insertion,4,1066.620161,4,799.887518,True,0,10.517960
C204,nearest_neighbor,9,1446.731513,4,1048.994556,True,0,0.036364
C204,regret_insertion,4,2061.918052,4,1316.460648,True,0,9.497523
C205,greedy_insertion,4,1003.286550,4,834.238813,True,0,10.596706
C205,nearest_neighbor,9,1485.096531,4,846.605023,True,0,0.044701
C205,regret_insertion,5,2595.460365,4,1630.926387,True,0,9.813196
C206,greedy_insertion,4,948.544027,4,751.894006,True,0,10.496409
C206,nearest_neighbor,8,1267.886743,4,984.344722,True,0,0.041861
C206,regret_insertion,5,2965.859107,4,1516.875797,True,0,9.538844
C207,greedy_insertion,4,979.629568,4,805.411984,True,0,10.879828
C207,nearest_neighbor,8,1292.972529,4,927.261921,True,0,0.031568
C207,regret_insertion,5,3085.365538,4,1809.174277,True,0,9.666051
C208,greedy_insertion,4,1182.865631,4,907.206956,True,0,10.387366
C208,nearest_neighbor,6,1145.229342,3,974.179209,True,0,0.018135
C208,regret_insertion,5,2226.949903,4,991.217556,True,0,9.924102
R101,greedy_insertion,23,2337.631365,22,1917.746216,True,0,5.007621
R101,nearest_neighbor,37,2623.244874,22,1949.386270,True,0,0.065074
R101,regret_insertion,25,2637.832196,23,2145.301721,True,0,4.763759
R102,greedy_insertion,19,2094.211757,19,1774.137011,True,0,5.480860
R102,nearest_neighbor,34,2442.783334,19,1713.129531,True,0,0.046059
R102,regret_insertion,24,2794.705956,21,2002.578756,True,0,4.750735
R103,greedy_insertion,18,1971.499741,15,1455.739045,True,0,5.790233
R103,nearest_neighbor,25,1972.041564,15,1609.009570,True,0,0.054439
R103,regret_insertion,18,2403.748214,16,1755.250652,True,0,5.041631
R104,greedy_insertion,13,1419.540205,11,1213.051277,True,0,5.941827
R104,nearest_neighbor,18,1519.349559,11,1223.784051,True,0,0.034014
R104,regret_insertion,18,3027.142229,18,2985.976578,True,0,4.692731
R105,greedy_insertion,17,1834.944390,16,1504.366936,True,0,5.362350
R105,nearest_neighbor,27,2238.600462,17,1630.795415,True,0,0.058506
R105,regret_insertion,22,2762.145296,20,2188.716046,True,0,4.791296
R106,greedy_insertion,17,1832.693986,14,1471.441627,True,0,5.648189
R106,nearest_neighbor,28,2168.738641,16,1742.064430,True,0,0.040193
R106,regret_insertion,19,2831.994750,16,2238.876089,True,0,4.721937
R107,greedy_insertion,14,1565.102614,13,1368.839320,True,0,5.710811
R107,nearest_neighbor,21,1818.549641,13,1401.737516,True,0,0.049114
R107,regret_insertion,19,3069.096164,17,2482.509404,True,0,4.530913
R108,greedy_insertion,12,1341.226401,11,1141.482514,True,0,6.034200
R108,nearest_neighbor,16,1505.367879,11,1311.921639,True,0,0.020187
R108,regret_insertion,19,3158.884796,16,2365.668621,True,0,4.596712
R109,greedy_insertion,15,1683.322885,14,1450.918736,True,0,5.630494
R109,nearest_neighbor,19,1749.905313,14,1477.529637,True,0,0.024276
R109,regret_insertion,21,3064.361994,18,2211.211101,True,0,4.768015
R110,greedy_insertion,13,1494.187489,13,1348.369474,True,0,5.716574
R110,nearest_neighbor,18,1738.352262,13,1404.851087,True,0,0.023030
R110,regret_insertion,20,3090.886583,16,2128.107111,True,0,4.696311
R111,greedy_insertion,15,1591.661993,13,1348.029684,True,0,5.727639
R111,nearest_neighbor,19,1691.279006,13,1343.574821,True,0,0.022102
R111,regret_insertion,20,3274.429510,16,1979.831537,True,0,4.578409
R112,greedy_insertion,12,1428.443885,12,1289.936740,True,0,5.877532
R112,nearest_neighbor,14,1364.931203,12,1196.990368,True,0,0.018814
R112,regret_insertion,19,3143.356093,17,2557.077427,True,0,4.567718
R201,greedy_insertion,5,1855.377752,4,1507.200026,True,0,11.209045
R201,nearest_neighbor,15,1984.955876,5,1611.790288,True,0,0.029042
R201,regret_insertion,7,3324.159107,6,1794.782859,True,0,8.462800
R202,greedy_insertion,5,1930.073961,4,1481.335583,True,0,12.123439
R202,nearest_neighbor,14,1812.994209,4,1303.974642,True,0,0.022924
R202,regret_insertion,6,2800.262581,5,1668.532944,True,0,8.669310
R203,greedy_insertion,4,1598.576530,3,1330.664431,True,0,13.133941
R203,nearest_neighbor,11,1532.724349,3,1333.267123,True,0,0.019744
R203,regret_insertion,4,2284.297189,4,1739.367461,True,0,8.964715
R204,greedy_insertion,3,1352.183948,3,1151.089000,True,0,14.253866
R204,nearest_neighbor,10,1381.005651,3,1071.877661,True,0,0.016223
R204,regret_insertion,3,1603.849382,3,1510.533629,True,0,10.251232
R205,greedy_insertion,4,1525.157842,3,1292.181451,True,0,12.309945
R205,nearest_neighbor,8,1519.367801,4,1451.156783,True,0,0.026005
R205,regret_insertion,5,2708.774554,5,1747.553962,True,0,8.844833
R206,greedy_insertion,4,1464.483398,3,1297.322477,True,0,13.117089
R206,nearest_neighbor,8,1513.053512,3,1276.088931,True,0,0.018549
R206,regret_insertion,4,2251.393682,4,1552.849660,True,0,9.413918
R207,greedy_insertion,3,1292.631274,3,1086.144387,True,0,14.046348
R207,nearest_neighbor,9,1429.512314,3,1233.194265,True,0,0.018126
R207,regret_insertion,4,2119.195374,3,1462.080321,True,0,9.261985
R208,greedy_insertion,3,1108.453356,3,870.423219,True,0,14.536975
R208,nearest_neighbor,5,1104.355462,3,981.260004,True,0,0.014740
R208,regret_insertion,3,1623.173282,3,1467.262697,True,0,9.982292
R209,greedy_insertion,3,1384.763681,3,1191.714817,True,0,13.052460
R209,nearest_neighbor,8,1467.577681,4,1299.004757,True,0,0.021685
R209,regret_insertion,5,2465.686278,4,2014.261815,True,0,9.097758
R210,greedy_insertion,4,1651.857089,3,1282.173185,True,0,13.245422
R210,nearest_neighbor,9,1482.742503,4,1077.880109,True,0,0.020182
R210,regret_insertion,4,2802.242540,4,2547.963981,True,0,8.378458
R211,greedy_insertion,3,1292.848628,3,970.494538,True,0,13.029200
R211,nearest_neighbor,5,1268.644772,3,1046.083378,True,0,0.021503
R211,regret_insertion,4,2096.946362,4,1185.553885,True,0,9.742011
RC101,greedy_insertion,18,2332.412676,18,2134.991775,True,0,5.127133
RC101,nearest_neighbor,27,2711.298077,18,2057.430411,True,0,0.029634
RC101,regret_insertion,24,3079.354092,18,2137.219960,True,0,4.919513
RC102,greedy_insertion,17,2270.359671,16,1853.735016,True,0,5.286662
RC102,nearest_neighbor,27,2647.099253,16,1884.349481,True,0,0.027211
RC102,regret_insertion,19,2821.931841,17,2343.002548,True,0,4.986496
RC103,greedy_insertion,15,2106.547173,14,1798.714112,True,0,5.540633
RC103,nearest_neighbor,23,2220.763255,14,1797.662575,True,0,0.024488
RC103,regret_insertion,19,3229.957896,16,2295.160400,True,0,4.726618
RC104,greedy_insertion,14,1801.182286,13,1553.487444,True,0,5.646116
RC104,nearest_neighbor,16,1754.612330,12,1467.671730,True,0,0.018553
RC104,regret_insertion,21,3831.500789,21,3636.373858,True,0,4.560660
RC105,greedy_insertion,20,2502.852081,18,2016.994798,True,0,5.360579
RC105,nearest_neighbor,28,2812.898997,18,2034.984890,True,0,0.028445
RC105,regret_insertion,22,3307.234304,19,2284.915954,True,0,4.749807
RC106,greedy_insertion,16,2134.704888,16,1912.248501,True,0,5.480285
RC106,nearest_neighbor,20,2119.216083,15,1696.272823,True,0,0.024436
RC106,regret_insertion,23,3649.516308,19,2698.986224,True,0,4.528990
RC107,greedy_insertion,15,1885.188073,14,1590.095882,True,0,5.486436
RC107,nearest_neighbor,18,1952.328721,13,1645.991347,True,0,0.021585
RC107,regret_insertion,21,3643.257246,18,2423.096927,True,0,4.570456
RC108,greedy_insertion,13,1735.109771,12,1538.723102,True,0,5.734724
RC108,nearest_neighbor,15,1792.977703,13,1484.173656,True,0,0.020025
RC108,regret_insertion,22,4042.071359,21,3436.279680,True,0,4.516564
RC201,greedy_insertion,5,2181.225772,5,1853.341144,True,0,10.602053
RC201,nearest_neighbor,15,2468.245614,5,1910.064392,True,0,0.027437
RC201,regret_insertion,7,4036.745802,7,2684.620689,True,0,7.338572
RC202,greedy_insertion,5,2030.006042,5,1581.594046,True,0,11.096851
RC202,nearest_neighbor,13,2114.341605,5,1623.996992,True,0,0.022355
RC202,regret_insertion,6,3796.359116,6,2396.430510,True,0,7.215340
RC203,greedy_insertion,4,1804.899910,4,1397.268896,True,0,12.133956
RC203,nearest_neighbor,13,2073.990222,3,1549.865965,True,0,0.019762
RC203,regret_insertion,5,3071.976391,5,1882.444022,True,0,7.854087
RC204,greedy_insertion,4,1434.174241,3,1092.594400,True,0,12.559108
RC204,nearest_neighbor,7,1361.201627,3,1026.073685,True,0,0.014035
RC204,regret_insertion,4,2490.187748,4,2274.265905,True,0,8.168000
RC205,greedy_insertion,5,2159.620220,5,1600.312514,True,0,10.534244
RC205,nearest_neighbor,15,2567.284479,5,1562.642528,True,0,0.027051
RC205,regret_insertion,6,3609.030301,6,2258.063098,True,0,7.809420
RC206,greedy_insertion,4,1923.084254,4,1502.185871,True,0,11.130380
RC206,nearest_neighbor,9,1820.945295,4,1670.538251,True,0,0.023041
RC206,regret_insertion,6,3495.259450,5,2692.265827,True,0,7.890723
RC207,greedy_insertion,4,1876.854240,4,1456.524273,True,0,11.277965
RC207,nearest_neighbor,10,1981.100788,4,1573.719939,True,0,0.021871
