dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C101,greedy_insertion,11,1140.400240,11,952.814501,True,0,5.842357,10,828.94,1,14.943723,False,SINTEF VRPTW 100 customers
C101,nearest_neighbor,21,1870.693800,12,1226.193560,True,0,0.048529,10,828.94,2,47.923078,False,SINTEF VRPTW 100 customers
C101,regret_insertion,11,1305.964232,11,1172.843823,True,0,5.844099,10,828.94,1,41.487179,False,SINTEF VRPTW 100 customers
C102,greedy_insertion,10,1182.824466,10,1150.154452,True,0,5.869148,10,828.94,0,38.750024,True,SINTEF VRPTW 100 customers
C102,nearest_neighbor,19,1992.460791,11,1385.332802,True,0,0.046999,10,828.94,1,67.120998,False,SINTEF VRPTW 100 customers
C102,regret_insertion,11,2296.781253,11,1872.957160,True,0,5.702710,10,828.94,1,125.946047,False,SINTEF VRPTW 100 customers
C103,greedy_insertion,10,1144.401596,10,1029.704738,True,0,5.765713,10,828.06,0,24.351465,True,SINTEF VRPTW 100 customers
C103,nearest_neighbor,17,1656.798431,10,1322.223654,True,0,0.037798,10,828.06,0,59.677276,True,SINTEF VRPTW 100 customers
C103,regret_insertion,11,2620.846820,11,1931.484734,True,0,5.564169,10,828.06,1,133.254201,False,SINTEF VRPTW 100 customers
C104,greedy_insertion,10,1232.050469,10,1071.704335,True,0,5.782388,10,824.78,0,29.938206,True,SINTEF VRPTW 100 customers
C104,nearest_neighbor,15,1702.625365,10,1439.768364,True,0,0.034859,10,824.78,0,74.563928,True,SINTEF VRPTW 100 customers
C104,regret_insertion,11,2867.668637,10,2791.409849,True,0,5.430049,10,824.78,0,238.442960,True,SINTEF VRPTW 100 customers
C105,greedy_insertion,11,1227.598589,11,1078.190093,True,0,5.943768,10,828.94,1,30.068532,False,SINTEF VRPTW 100 customers
C105,nearest_neighbor,20,1888.387776,11,1044.223197,True,0,0.044027,10,828.94,1,25.970902,False,SINTEF VRPTW 100 customers
C105,regret_insertion,12,1546.748838,12,1334.569573,True,0,5.839706,10,828.94,2,60.997126,False,SINTEF VRPTW 100 customers
C106,greedy_insertion,11,1313.949239,11,1118.253341,True,0,5.878317,10,828.94,1,34.901602,False,SINTEF VRPTW 100 customers
